,,,The predicted value of target variable from ML model,,,August Grade 1 is School month 1,Percentile based on a distribution and estimated parameters
Grade,pupilId,screeningId,WCPM_aloud_pred,date,Screening month,School month,Percentile
1,22c35c04-a3c5-46c3-a10a-69df3b35438d,75ad18d8-ed9b-4133-99fc-6059ab17ce91,18.19871,Recording date: 2019-09-19 (UTC),9,2,48
1,22c35c04-a3c5-46c3-a10a-69df3b35438d,75ad18d8-ed9b-4133-99fc-6059ab17ce91,17.969517,Recording date: 2019-09-19 (UTC),9,2,48
1,2628380c-a02d-49ae-b566-b109b2891c37,84d4e810-a34c-4209-9ae8-80f000130327,24.385805,Recording date: 2019-09-19 (UTC),9,2,56
1,2628380c-a02d-49ae-b566-b109b2891c37,84d4e810-a34c-4209-9ae8-80f000130327,29.448101,Recording date: 2019-09-19 (UTC),9,2,62
1,41bdd9cc-3127-48de-9c4f-e9415c3b1efd,4755fafc-d8d6-4d00-9958-400cf7e04202,15.831411,Recording date: 2019-09-19 (UTC),9,2,45
1,41bdd9cc-3127-48de-9c4f-e9415c3b1efd,4755fafc-d8d6-4d00-9958-400cf7e04202,11.336281,Recording date: 2019-09-19 (UTC),9,2,39
1,7e714d27-96ad-4eb0-badf-a00428586eef,3e6721c7-cc6a-42d7-a2c4-665504a06812,32.17559,Recording date: 2019-09-19 (UTC),9,2,65
1,7e714d27-96ad-4eb0-badf-a00428586eef,3e6721c7-cc6a-42d7-a2c4-665504a06812,60.040306,Recording date: 2019-09-19 (UTC),9,2,90
1,b3bd9c55-4723-46c0-af7d-35da8c064685,2f9feed0-abe3-4afe-b94b-f86e53ac473c,28.34032,Recording date: 2019-09-19 (UTC),9,2,60
1,b3bd9c55-4723-46c0-af7d-35da8c064685,2f9feed0-abe3-4afe-b94b-f86e53ac473c,7.4306645,Recording date: 2019-09-19 (UTC),9,2,35
1,b42ca040-8fb8-4e0e-98e2-b40913340221,0191c19e-5b1a-4bba-9b78-dd96799775fc,70.78224,Recording date: 2019-09-19 (UTC),9,2,95
1,b42ca040-8fb8-4e0e-98e2-b40913340221,0191c19e-5b1a-4bba-9b78-dd96799775fc,77.43124,Recording date: 2019-09-19 (UTC),9,2,97
1,bc9ecbf0-bb1f-4aa8-b7c9-1025875af7ac,0cc19ee5-2049-48bc-86de-75951d365064,65.47024,Recording date: 2019-09-19 (UTC),9,2,93
1,bc9ecbf0-bb1f-4aa8-b7c9-1025875af7ac,0cc19ee5-2049-48bc-86de-75951d365064,60.812122,Recording date: 2019-09-19 (UTC),9,2,90
1,bda2a918-3e8d-4d22-a724-d3b804775b54,2fdd9208-0504-4f60-990f-2dd16c40e111,27.577145,Recording date: 2019-09-19 (UTC),9,2,59
1,bda2a918-3e8d-4d22-a724-d3b804775b54,2fdd9208-0504-4f60-990f-2dd16c40e111,19.18567,Recording date: 2019-09-19 (UTC),9,2,49
1,dc4554ee-9a7d-491e-a172-fd63ca69f454,d2a79768-657c-4fd5-9add-f2c32768e7df,33.88904,Recording date: 2019-09-19 (UTC),9,2,67
1,dc4554ee-9a7d-491e-a172-fd63ca69f454,d2a79768-657c-4fd5-9add-f2c32768e7df,16.541145,Recording date: 2019-09-19 (UTC),9,2,46
1,08edfda0-47f3-4c6d-9a7a-98e3019517bb,a643f41f-9351-49be-b225-532723c79e08,58.764973,Recording date: 2019-09-13 (UTC),9,2,89
1,08edfda0-47f3-4c6d-9a7a-98e3019517bb,a643f41f-9351-49be-b225-532723c79e08,45.352406,Recording date: 2019-09-13 (UTC),9,2,79
1,196656c0-fa17-47d0-9d5f-60cd0107f5a5,a5734743-86aa-459f-bc37-d75d4dde392c,20.134388,Recording date: 2019-09-13 (UTC),9,2,50
1,196656c0-fa17-47d0-9d5f-60cd0107f5a5,a5734743-86aa-459f-bc37-d75d4dde392c,0.790558,Recording date: 2019-09-13 (UTC),9,2,27
1,2957b812-9f27-4f16-b4c3-3cac2dc7baa9,1c3a3439-1440-4f0d-a79c-2c711007b8c4,66.98075,Recording date: 2019-09-13 (UTC),9,2,93
1,2957b812-9f27-4f16-b4c3-3cac2dc7baa9,1c3a3439-1440-4f0d-a79c-2c711007b8c4,70.36816,Recording date: 2019-09-13 (UTC),9,2,95
1,534c18bd-ee39-4c19-8f82-79199e77fb3e,bcc99091-907b-4d3b-8f8a-e8b76a43cbf2,47.38747,Recording date: 2019-09-13 (UTC),9,2,81
1,534c18bd-ee39-4c19-8f82-79199e77fb3e,bcc99091-907b-4d3b-8f8a-e8b76a43cbf2,58.23909,Recording date: 2019-09-13 (UTC),9,2,89
1,617496b1-b2da-4e3a-b3af-ae510c7af591,4b0d8ef8-aabc-465c-8c0d-643cca3db770,120.618225,Recording date: 2019-09-13 (UTC),9,2,100
1,617496b1-b2da-4e3a-b3af-ae510c7af591,4b0d8ef8-aabc-465c-8c0d-643cca3db770,116.65054,Recording date: 2019-09-13 (UTC),9,2,100
1,a943210a-7982-4e8c-bbd3-eda05b21ada7,cbd0dabd-ff8f-44da-a6e9-ac4146cbfb38,20.11156,Recording date: 2019-09-13 (UTC),9,2,50
1,a943210a-7982-4e8c-bbd3-eda05b21ada7,cbd0dabd-ff8f-44da-a6e9-ac4146cbfb38,24.751663,Recording date: 2019-09-13 (UTC),9,2,56
